"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2011;[zł]";
0802063;"Krosno Odrzańskie (3)";45769388,60;
0802072;"Maszewo (2)";8063304,88;
0803000;"Powiat międzyrzecki";173438775,41;
0803012;"Bledzew (2)";13119807,08;
0803023;"Międzyrzecz (3)";71049269,81;
0803032;"Przytoczna (2)";17893897,18;
0803042;"Pszczew (2)";16311947,52;
0803053;"Skwierzyna (3)";37974956,21;
0803063;"Trzciel (3)";17088897,61;
0804000;"Powiat nowosolski";243910654,65;
0804011;"Nowa Sól (1)";107097195,91;
0804023;"Bytom Odrzański (3)";15500259,95;
0804032;"Kolsko (2)";10150449,56;
0804043;"Kożuchów (3)";44197839,12;
0804052;"Nowa Sól (2)";16755453,84;
0804063;"Nowe Miasteczko (3)";19629550,74;
0804072;"Otyń (2)";18289156,91;
0804082;"Siedlisko (2)";12290748,62;
0805000;"Powiat słubicki";144976438,93;
0805013;"Cybinka (3)";18860863,91;
0805022;"Górzyca (2)";17813783,80;
0805033;"Ośno Lubuskie (3)";21543484,54;
0805043;"Rzepin (3)";27364288,88;
0805053;"Słubice (3)";59394017,80;
0806000;"Powiat strzelecko-drezdenecki";144406067,29;
0806013;"Dobiegniew (3)";23286777,72;
0806023;"Drezdenko (3)";44026768,23;
0806032;"Stare Kurowo (2)";13436213,93;
0806043;"Strzelce Krajeńskie (3)";44197008,79;
0806052;"Zwierzyn (2)";19459298,62;
0807000;"Powiat sulęciński";101133088,45;
0807012;"Krzeszyce (2)";12607309,21;
0807023;"Lubniewice (3)";9486761,58;
0807032;"Słońsk (2)";16208511,45;
0807043;"Sulęcin (3)";42055072,23;
0807053;"Torzym (3)";20775433,98;
0808000;"Powiat świebodziński";176398470,94;
0808012;"Lubrza (2)";22892958,57;
0808022;"Łagów (2)";20374042,00;
0808032;"Skąpe (2)";16604049,79;
0808042;"Szczaniec (2)";10869485,90;
0808053;"Świebodzin (3)";77998881,07;
0808063;"Zbąszynek (3)";27659053,61;
0809000;"Powiat zielonogórski";262142045,19;
0809013;"Babimost (3)";25088967,44;
0809022;"Bojadła (2)";8737033,92;
0809033;"Czerwieńsk (3)";32073231,17;
0809043;"Kargowa (3)";16573584,20;
0809053;"Nowogród Bobrzański (3)";23486127,08;
0809063;"Sulechów (3)";64358491,92;
0809072;"Świdnica (2)";19495395,95;
0809082;"Trzebiechów (2)";9570970,45;
0809092;"Zabór (2)";10895902,36;
0809102;"Zielona Góra (2)";51862340,70;
0810000;"Powiat żagański";227399787,51;
0810011;"Gozdnica (1)";10296359,25;
0810021;"Żagań (1)";66149281,82;
0810032;"Brzeźnica (2)";11328570,79;
0810043;"Iłowa (3)";20546513,45;
0810053;"Małomice (3)";16391440,19;
0810062;"Niegosławice (2)";15173847,24;
0810073;"Szprotawa (3)";61265644,54;
0810082;"Wymiarki (2)";8596521,37;
0810092;"Żagań (2)";17651608,86;
0811000;"Powiat żarski";276733798,98;
0811011;"Łęknica (1)";10415590,32;
0811021;"Żary (1)";112686620,92;
0811032;"Brody (2)";10568417,86;
0811043;"Jasień (3)";21062800,41;
0811052;"Lipinki Łużyckie (2)";8958139,85;
0811063;"Lubsko (3)";52280232,88;
0811072;"Przewóz (2)";9690301,95;
0811082;"Trzebiel (2)";15067448,55;
0811092;"Tuplice (2)";8440168,00;
0811102;"Żary (2)";27564078,24;
0812000;"Powiat wschowski";111681823,83;
0812013;"Sława (3)";39342671,78;
0812023;"Szlichtyngowa (3)";15784802,02;
0812033;"Wschowa (3)";56554350,03;
0861000;"Powiat m.Gorzów Wielkopolski";428971371,75;
0861011;"Gorzów Wielkopolski (1)";428971371,75;
0862000;"Powiat m.Zielona Góra";471830707,60;
0862011;"Zielona Góra (1)";471830707,60;
1000000;"ŁÓDZKIE";8096539686,37;
1001000;"Powiat bełchatowski";530867706,66;
1001011;"Bełchatów (1)";161666888,76;
1001022;"Bełchatów (2)";26585413,27;
1001032;"Drużbice (2)";14506246,11;
1001042;"Kleszczów (2)";212299140,60;
1001052;"Kluki (2)";11440642,56;
1001062;"Rusiec (2)";15636698,99;
1001072;"Szczerców (2)";42258520,14;
1001083;"Zelów (3)";46474156,23;
1002000;"Powiat kutnowski";284765069,67;
1002011;"Kutno (1)";135730085,44;
1002022;"Bedlno (2)";14561593,51;
1002032;"Dąbrowice (2)";5711790,98;
1002043;"Krośniewice (3)";30466555,23;
1002052;"Krzyżanów (2)";11735693,56;
1002062;"Kutno (2)";21665956,87;
1002072;"Łanięta (2)";8041257,89;
1002082;"Nowe Ostrowy (2)";12822867,59;
1002092;"Oporów (2)";6344905,63;
1002102;"Strzelce (2)";10415857,07;
1002113;"Żychlin (3)";27268505,90;
1003000;"Powiat łaski";130327914,57;
1003012;"Buczek (2)";15634691,79;
1003023;"Łask (3)";68094221,84;
1003032;"Sędziejowice (2)";17179060,63;
1003042;"Widawa (2)";20630714,06;
1003052;"Wodzierady (2)";8789226,25;
1004000;"Powiat łęczycki";136382364,80;
1004011;"Łęczyca (1)";41702341,24;
1004022;"Daszyna (2)";11845002,15;
1004032;"Góra Świętej Małgorzaty (2)";10037234,59;
1004042;"Grabów (2)";17113981,77;
1004052;"Łęczyca (2)";20573095,33;
1004062;"Piątek (2)";15874488,29;
1004072;"Świnice Warckie (2)";10794102,60;
1004082;"Witonia (2)";8442118,83;
1005000;"Powiat łowicki";213776210,53;
1005011;"Łowicz (1)";87115747,99;
1005022;"Bielawy (2)";14507380,54;
1005032;"Chąśno (2)";8725449,37;
1005042;"Domaniewice (2)";10950983,79;
1005052;"Kiernozia (2)";10793905,39;
1005062;"Kocierzew Południowy (2)";10818379,57;
1005072;"Łowicz (2)";18054814,36;
1005082;"Łyszkowice (2)";17224930,06;
1005092;"Nieborów (2)";21697159,53;
1005102;"Zduny (2)";13887459,93;
1006000;"Powiat łódzki wschodni";186225226,40;
1006022;"Andrespol (2)";31651650,45;
1006032;"Brójce (2)";15003258,88;
1006073;"Koluszki (3)";51829424,77;
1006082;"Nowosolna (2)";18548049,63;
1006103;"Rzgów (3)";33340457,81;
1006113;"Tuszyn (3)";35852384,86;
1007000;"Powiat opoczyński";244484399,31;
1007012;"Białaczów (2)";20596511,14;
1007023;"Drzewica (3)";26700061,27;
1007032;"Mniszków (2)";15257423,11;
1007043;"Opoczno (3)";97122554,96;
1007052;"Paradyż (2)";16203201,22;
1007062;"Poświętne (2)";8378606,63;
1007072;"Sławno (2)";42364861,08;
1007082;"Żarnów (2)";17861179,90;
1008000;"Powiat pabianicki";334323716,43;
1008011;"Konstantynów Łódzki (1)";48405504,79;
1008021;"Pabianice (1)";192291961,73;
1008032;"Dłutów (2)";13112214,55;
1008042;"Dobroń (2)";17642423,29;
1008052;"Ksawerów (2)";21631230,61;
1008062;"Lutomiersk (2)";17863340,84;
1008072;"Pabianice (2)";23377040,62;
1009000;"Powiat pajęczański";173125984,37;
1009013;"Działoszyn (3)";40648464,61;
1009022;"Kiełczygłów (2)";10838099,15;
1009032;"Nowa Brzeźnica (2)";12147837,92;
1009043;"Pajęczno (3)";28170067,10;
1009052;"Rząśnia (2)";42085217,99;
1009062;"Siemkowice (2)";13065326,52;
1009072;"Strzelce Wielkie (2)";11206032,54;
1009082;"Sulmierzyce (2)";14964938,54;
1010000;"Powiat piotrkowski";264313233,01;
1010012;"Aleksandrów (2)";13117316,36;
1010022;"Czarnocin (2)";11432877,53;
1010032;"Gorzkowice (2)";22379789,49;
1010042;"Grabica (2)";17808423,57;
1010052;"Łęki Szlacheckie (2)";9747297,50;
1010062;"Moszczenica (2)";34292214,10;
1010072;"Ręczno (2)";9644751,94;
1010082;"Rozprza (2)";28169099,09;
1010093;"Sulejów (3)";46070648,82;
1010102;"Wola Krzysztoporska (2)";39532612,01;
1010113;"Wolbórz (3)";32118202,60;
1011000;"Powiat poddębicki";158051906,39;
1011012;"Dalików (2)";11575596,46;
1011022;"Pęczniew (2)";10862347,76;
1011033;"Poddębice (3)";39665389,07;
1011043;"Uniejów (3)";55513055,48;
1011052;"Wartkowice (2)";24633667,47;
1011062;"Zadzim (2)";15801850,15;
1012000;"Powiat radomszczański";332657135,71;
1012011;"Radomsko (1)";134174104,99;
1012022;"Dobryszyce (2)";12260816,66;
1012032;"Gidle (2)";16632420,66;
1012042;"Gomunice (2)";13594114,16;
1012053;"Kamieńsk (3)";28754875,25;
1012062;"Kobiele Wielkie (2)";10963420,65;
1012072;"Kodrąb (2)";12015013,02;
1012082;"Lgota Wielka (2)";13212472,12;
1012092;"Ładzice (2)";12073022,79;
1012102;"Masłowice (2)";10352979,66;
1012113;"Przedbórz (3)";22747720,16;
1012122;"Radomsko (2)";15417542,83;
1012132;"Wielgomłyny (2)";13764222,73;
1012142;"Żytno (2)";16694410,03;
1013000;"Powiat rawski";136760794,12;
1013011;"Rawa Mazowiecka (1)";55278429,41;
1013023;"Biała Rawska (3)";30156511,32;
1013032;"Cielądz (2)";10981696,23;
1013042;"Rawa Mazowiecka (2)";19557264,32;
1013052;"Regnów (2)";5744114,60;
1013062;"Sadkowice (2)";15042778,24;
1014000;"Powiat sieradzki";319159086,06;
1014011;"Sieradz (1)";108559180,03;
1014023;"Błaszki (3)";39019855,49;
1014032;"Brąszewice (2)";15136873,79;
1014042;"Brzeźnio (2)";16818831,42;
1014052;"Burzenin (2)";14625105,27;
1014062;"Goszczanów (2)";16908377,76;
1014072;"Klonowa (2)";9894526,50;
1014082;"Sieradz (2)";24662310,50;
1014093;"Warta (3)";33510558,35;
1014102;"Wróblew (2)";19922271,60;
1014113;"Złoczew (3)";20101195,35;
1015000;"Powiat skierniewicki";114042659,68;
1015012;"Bolimów (2)";14140343,16;
1015022;"Głuchów (2)";16165782,36;
1015032;"Godzianów (2)";6995224,87;
1015042;"Kowiesy (2)";9675664,11;
1015052;"Lipce Reymontowskie (2)";9436498,54;
1015062;"Maków (2)";19214173,47;
1015072;"Nowy Kawęczyn (2)";12459156,79;
1015082;"Skierniewice (2)";19987892,02;
1015092;"Słupia (2)";5967924,36;
1016000;"Powiat tomaszowski";312711472,66;
1016011;"Tomaszów Mazowiecki (1)";156252180,27;
1016022;"Będków (2)";9621189,23;
1016032;"Budziszewice (2)";7018416,42;
1016042;"Czerniewice (2)";12776833,60;
1016052;"Inowłódz (2)";13739892,49;
1016062;"Lubochnia (2)";22534357,83;
1016072;"Rokiciny (2)";17471302,18;
1016082;"Rzeczyca (2)";14371696,74;
1016092;"Tomaszów Mazowiecki (2)";23947603,12;
1016102;"Ujazd (2)";24140328,31;
1016112;"Żelechlinek (2)";10837672,47;
1017000;"Powiat wieluński";206683163,50;
1017012;"Biała (2)";14405822,55;
1017022;"Czarnożyły (2)";11031949,93;
1017032;"Konopnica (2)";12209244,06;
1017042;"Mokrsko (2)";18803611,69;
1017052;"Osjaków (2)";14026884,35;
1017062;"Ostrówek (2)";13454328,89;
1017072;"Pątnów (2)";17280094,62;
1017082;"Skomlin (2)";9713715,02;
1017093;"Wieluń (3)";71430250,97;
1017102;"Wierzchlas (2)";24327261,42;
1018000;"Powiat wieruszowski";113678911,17;
1018012;"Bolesławiec (2)";12068037,94;
1018022;"Czastary (2)";11752930,71;
1018032;"Galewice (2)";17277129,81;
1018042;"Lututów (2)";12740603,84;
1018052;"Łubnice (2)";12286924,34;
1018062;"Sokolniki (2)";12542823,61;
1018073;"Wieruszów (3)";35010460,92;
1019000;"Powiat zduńskowolski";165289502,81;
1019011;"Zduńska Wola (1)";106884205,14;
1019023;"Szadek (3)";17711017,91;
1019032;"Zapolice (2)";12501877,14;
1019042;"Zduńska Wola (2)";28192402,62;
1020000;"Powiat zgierski";424686248,34;
1020011;"Głowno (1)";57455606,35;
1020021;"Ozorków (1)";49610743,47;
1020031;"Zgierz (1)";132632233,48;
1020043;"Aleksandrów Łódzki (3)";68102566,15;
1020052;"Głowno (2)";9736267,36;
1020062;"Ozorków (2)";18248010,50;
1020072;"Parzęczew (2)";16643767,18;
1020083;"Stryków (3)";41394593,16;
1020092;"Zgierz (2)";30862460,69;
1021000;"Powiat brzeziński";78010286,62;
1021011;"Brzeziny (1)";31063442,33;
1021022;"Brzeziny (2)";12727765,55;
1021032;"Dmosin (2)";13545735,44;
1021042;"Jeżów (2)";9355487,74;
1021052;"Rogów (2)";11317855,56;
1061000;"Powiat m.Łódź";2748093571,53;
1061011;"Łódź (1)";2748093571,53;
1062000;"Powiat m.Piotrków Trybunalski";315296695,95;
1062011;"Piotrków Trybunalski (1)";315296695,95;
1063000;"Powiat m.Skierniewice";172826426,08;
1063011;"Skierniewice (1)";172826426,08;
1200000;"MAŁOPOLSKIE";11206934382,69;
1201000;"Powiat bocheński";292976291,28;
1201011;"Bochnia (1)";73697469,24;
1201022;"Bochnia (2)";48446221,02;
1201032;"Drwinia (2)";17410884,27;
1201042;"Lipnica Murowana (2)";16466913,60;
1201052;"Łapanów (2)";31729202,99;
1201063;"Nowy Wiśnicz (3)";37212247,78;
1201072;"Rzezawa (2)";28901075,77;
1201082;"Trzciana (2)";19702462,75;
1201092;"Żegocina (2)";19409813,86;
1202000;"Powiat brzeski";268915779,55;
1202012;"Borzęcin (2)";34039796,07;
1202023;"Brzesko (3)";87141475,91;
1202033;"Czchów (3)";28370043,47;
1202042;"Dębno (2)";32248636,69;
1202052;"Gnojnik (2)";24902558,31;
1202062;"Iwkowa (2)";19196398,80;
1202072;"Szczurowa (2)";43016870,30;
1203000;"Powiat chrzanowski";344327807,89;
1203013;"Alwernia (3)";26275824,09;
1203022;"Babice (2)";19696903,03;
1203033;"Chrzanów (3)";154006906,99;
1203043;"Libiąż (3)";50104131,98;
1203053;"Trzebinia (3)";94244041,80;
1204000;"Powiat dąbrowski";183174058,67;
1204012;"Bolesław (2)";10454810,38;
1204023;"Dąbrowa Tarnowska (3)";61979125,70;
1204032;"Gręboszów (2)";12285382,94;
1204042;"Mędrzechów (2)";10518940,11;
1204052;"Olesno (2)";19998726,04;
1204062;"Radgoszcz (2)";26563687,94;
1204073;"Szczucin (3)";41373385,56;
1205000;"Powiat gorlicki";349762560,39;
1205011;"Gorlice (1)";89124672,06;
1205023;"Biecz (3)";50806933,65;
1205033;"Bobowa (3)";40033493,37;
1205042;"Gorlice (2)";49430875,58;
1205052;"Lipinki (2)";18647061,29;
1205062;"Łużna (2)";23399401,48;
1205072;"Moszczenica (2)";16298522,23;
1205082;"Ropa (2)";16896056,33;
1205092;"Sękowa (2)";17252270,59;
1205102;"Uście Gorlickie (2)";27873273,81;
1206000;"Powiat krakowski";717114490,88;
1206012;"Czernichów (2)";36941831,09;
1206022;"Igołomia-Wawrzeńczyce (2)";23882101,88;
1206032;"Iwanowice (2)";22920824,88;
1206042;"Jerzmanowice-Przeginia (2)";29804427,13;
1206052;"Kocmyrzów-Luborzyca (2)";40902439,84;
1206063;"Krzeszowice (3)";81159829,14;
1206072;"Liszki (2)";35227164,76;
1206082;"Michałowice (2)";21407029,87;
1206092;"Mogilany (2)";32347161,39;
1206103;"Skała (3)";25300360,57;
1206113;"Skawina (3)";132958065,02;
1206123;"Słomniki (3)";37118770,60;
1206132;"Sułoszowa (2)";17576311,00;
1206143;"Świątniki Górne (3)";25088645,81;
1206152;"Wielka Wieś (2)";33875828,40;
1206162;"Zabierzów (2)";70565342,75;
1206172;"Zielonki (2)";50038356,75;
1207000;"Powiat limanowski";415593493,75;
1207011;"Limanowa (1)";46740427,95;
1207021;"Mszana Dolna (1)";29721382,44;
1207032;"Dobra (2)";29748240,89;
1207042;"Jodłownik (2)";33040530,32;
1207052;"Kamienica (2)";25063118,57;
1207062;"Laskowa (2)";35760967,75;
1207072;"Limanowa (2)";70446976,01;
1207082;"Łukowica (2)";32537010,95;
1207092;"Mszana Dolna (2)";45123716,77;
1207102;"Niedźwiedź (2)";24781229,42;
1207112;"Słopnice (2)";22583852,08;
1207122;"Tymbark (2)";20046040,60;
1208000;"Powiat miechowski";134684776,81;
1208012;"Charsznica (2)";19533555,60;
1208022;"Gołcza (2)";16362255,86;
1208032;"Kozłów (2)";13281017,48;
1208042;"Książ Wielki (2)";17119190,47;
1208053;"Miechów (3)";51544102,16;
1208062;"Racławice (2)";7890850,03;
1208072;"Słaboszów (2)";8953805,21;
1209000;"Powiat myślenicki";421106545,56;
1209013;"Dobczyce (3)";63641797,12;
1209022;"Lubień (2)";27026542,03;
1209033;"Myślenice (3)";163704722,54;
1209042;"Pcim (2)";32915853,00;
1209052;"Raciechowice (2)";23362468,76;
1209062;"Siepraw (2)";24263257,95;
1209073;"Sułkowice (3)";39219900,65;
1209082;"Tokarnia (2)";25416727,05;
1209092;"Wiśniowa (2)";21555276,46;
1210000;"Powiat nowosądecki";717526485,95;
1210011;"Grybów (1)";21516840,37;
1210022;"Chełmiec (2)";83881617,36;
1210032;"Gródek nad Dunajcem (2)";38962885,71;
1210042;"Grybów (2)";70496542,28;
1210052;"Kamionka Wielka (2)";31832489,76;
1210062;"Korzenna (2)";46569251,05;
1210073;"Krynica-Zdrój (3)";90522350,24;
1210082;"Łabowa (2)";21320346,98;
1210092;"Łącko (2)";54330954,52;
1210102;"Łososina Dolna (2)";34294025,51;
1210113;"Muszyna (3)";47693855,20;
1210122;"Nawojowa (2)";26307334,17;
1210133;"Piwniczna-Zdrój (3)";36956788,61;
1210142;"Podegrodzie (2)";36405757,15;
1210152;"Rytro (2)";14522355,48;
1210163;"Stary Sącz (3)";61913091,56;
1211000;"Powiat nowotarski";539029738,97;
1211011;"Nowy Targ (1)";84017276,72;
1211023;"Szczawnica (3)";31208438,74;
1211032;"Czarny Dunajec (2)";61344986,06;
1211042;"Czorsztyn (2)";23752007,89;
1211052;"Jabłonka (2)";55987306,02;
1211062;"Krościenko nad Dunajcem (2)";17665970,33;
1211072;"Lipnica Wielka (2)";19701435,01;
1211082;"Łapsze Niżne (2)";25640852,37;
1211092;"Nowy Targ (2)";64669923,23;
1211102;"Ochotnica Dolna (2)";27988774,92;
1211112;"Raba Wyżna (2)";35049479,01;
1211123;"Rabka-Zdrój (3)";46701555,83;
1211132;"Spytkowice (2)";14078316,57;
1211142;"Szaflary (2)";31223416,27;
1212000;"Powiat olkuski";290080210,87;
1212011;"Bukowno (1)";33544125,50;
1212032;"Bolesław (2)";26825456,03;
1212042;"Klucze (2)";40143569,84;
1212053;"Olkusz (3)";114506614,45;
1212062;"Trzyciąż (2)";20665676,58;
1212073;"Wolbrom (3)";54394768,47;
1213000;"Powiat oświęcimski";419021540,80;
1213011;"Oświęcim (1)";128272011,77;
1213023;"Brzeszcze (3)";50840760,83;
1213033;"Chełmek (3)";29532908,44;
1213043;"Kęty (3)";77095749,65;
1213052;"Osiek (2)";22233284,42;
1213062;"Oświęcim (2)";40799032,32;
1213072;"Polanka Wielka (2)";10067337,68;
1213082;"Przeciszów (2)";18003335,98;
1213093;"Zator (3)";42177119,71;
1214000;"Powiat proszowicki";129381035,48;
1214012;"Koniusza (2)";23440792,96;
1214022;"Koszyce (2)";18544050,46;
1214033;"Nowe Brzesko (3)";22000689,86;
1214042;"Pałecznica (2)";15335120,77;
1214053;"Proszowice (3)";40784967,84;
1214062;"Radziemice (2)";9275413,59;
1215000;"Powiat suski";226659392,73;
1215011;"Jordanów (1)";14966836,82;
1215021;"Sucha Beskidzka (1)";24292038,11;
1215032;"Budzów (2)";23733249,82;
1215042;"Bystra-Sidzina (2)";18762088,15;
1215052;"Jordanów (2)";28658425,38;
1215063;"Maków Podhalański (3)";41784807,75;
1215072;"Stryszawa (2)";31153945,47;
1215082;"Zawoja (2)";26319000,99;
1215092;"Zembrzyce (2)";16989000,24;
1216000;"Powiat tarnowski";570706633,60;
1216013;"Ciężkowice (3)";37393450,59;
1216022;"Gromnik (2)";27779397,60;
1216032;"Lisia Góra (2)";37798711,84;
1216042;"Pleśna (2)";39426950,90;
1216053;"Radłów (3)";25271992,69;
1216063;"Ryglice (3)";35723574,30;
1216072;"Rzepiennik Strzyżewski (2)";21537266,76;
1216082;"Skrzyszów (2)";33846064,21;
1216092;"Tarnów (2)";61395424,93;
1216103;"Tuchów (3)";46942545,90;
1216112;"Wierzchosławice (2)";42223295,93;
1216122;"Wietrzychowice (2)";11650723,74;
1216133;"Wojnicz (3)";32767998,59;
1216143;"Zakliczyn (3)";37833441,81;
1216153;"Żabno (3)";54114870,47;
1216162;"Szerzyny (2)";25000923,34;
1217000;"Powiat tatrzański";200010808,53;
1217011;"Zakopane (1)";91361010,96;
1217022;"Biały Dunajec (2)";16992438,90;
1217032;"Bukowina Tatrzańska (2)";37042296,59;
1217042;"Kościelisko (2)";25676778,53;
1217052;"Poronin (2)";28938283,55;
1218000;"Powiat wadowicki";406237542,94;
1218013;"Andrychów (3)";103745379,26;
1218022;"Brzeźnica (2)";24396979,86;
1218033;"Kalwaria Zebrzydowska (3)";48450835,02;
1218042;"Lanckorona (2)";29886160,35;
1218052;"Mucharz (2)";12811930,59;
1218062;"Spytkowice (2)";25333340,51;
1218072;"Stryszów (2)";16851265,26;
1218082;"Tomice (2)";17574572,99;
1218093;"Wadowice (3)";91760871,42;
1218102;"Wieprz (2)";35426207,68;
1219000;"Powiat wielicki";360994857,38;
1219012;"Biskupice (2)";23662836,18;
1219022;"Gdów (2)";46125207,66;
1219032;"Kłaj (2)";24845724,74;
1219043;"Niepołomice (3)";118243800,92;
1219053;"Wieliczka (3)";148117287,88;
1261000;"Powiat m.Kraków";3336490733,37;
1261011;"Kraków (1)";3336490733,37;
1262000;"Powiat m.Nowy Sącz";397695002,04;
1262011;"Nowy Sącz (1)";397695002,04;
1263000;"Powiat m.Tarnów";485444595,25;
1263011;"Tarnów (1)";485444595,25;
1400000;"MAZOWIECKIE";22550652595,93;
1401000;"Powiat białobrzeski";100136026,69;
1401013;"Białobrzegi (3)";29361763,29;
1401022;"Promna (2)";15329352,69;
1401032;"Radzanów (2)";14071586,61;
1401042;"Stara Błotnica (2)";14328505,80;
1401052;"Stromiec (2)";16831277,34;
1401063;"Wyśmierzyce (3)";10213540,96;
1402000;"Powiat ciechanowski";256068710,28;
1402011;"Ciechanów (1)";116098633,90;
1402022;"Ciechanów (2)";15192633,54;
1402033;"Glinojeck (3)";34365387,52;
1402042;"Gołymin-Ośrodek (2)";10437040,23;
1402052;"Grudusk (2)";14219040,59;
1402062;"Ojrzeń (2)";14928102,62;
1402072;"Opinogóra Górna (2)";16092719,37;
1402082;"Regimin (2)";14040077,23;
1402092;"Sońsk (2)";20695075,28;
1403000;"Powiat garwoliński";276108253,46;
1403011;"Garwolin (1)";45118056,37;
1403021;"Łaskarzew (1)";14931479,72;
1403032;"Borowie (2)";16293178,33;
1403042;"Garwolin (2)";27710655,27;
1403052;"Górzno (2)";16097712,59;
1403062;"Łaskarzew (2)";14953236,02;
1403072;"Maciejowice (2)";21409381,69;
1403082;"Miastków Kościelny (2)";12996924,42;
1403092;"Parysów (2)";9768752,88;
1403103;"Pilawa (3)";23332669,51;
1403112;"Sobolew (2)";21780663,35;
1403122;"Trojanów (2)";17790555,26;
1403132;"Wilga (2)";13128950,81;
1403143;"Żelechów (3)";20796037,24;
1404000;"Powiat gostyniński";117375638,27;
1404011;"Gostynin (1)";44243768,02;
1404022;"Gostynin (2)";33634947,94;
1404032;"Pacyna (2)";9625925,95;
1404042;"Sanniki (2)";15600014,38;
1404052;"Szczawin Kościelny (2)";14270981,98;
1405000;"Powiat grodziski";282835813,17;
1405011;"Milanówek (1)";51013074,12;
1405021;"Podkowa Leśna (1)";20725861,67;
1405032;"Baranów (2)";16771078,57;
1405043;"Grodzisk Mazowiecki (3)";131648259,34;
1405052;"Jaktorów (2)";38697816,45;
1405062;"Żabia Wola (2)";23979723,02;
1406000;"Powiat grójecki";264554224,83;
1406012;"Belsk Duży (2)";18803615,20;
1406022;"Błędów (2)";18846356,80;
1406032;"Chynów (2)";23856223,38;
1406042;"Goszczyn (2)";7681957,06;
1406053;"Grójec (3)";62616183,91;
1406062;"Jasieniec (2)";15170315,79;
1406073;"Mogielnica (3)";27775784,71;
1406083;"Nowe Miasto nad Pilicą (3)";20946312,26;
1406092;"Pniewy (2)";12588008,58;
1406113;"Warka (3)";56269467,14;
1407000;"Powiat kozienicki";231852491,67;
1407012;"Garbatka-Letnisko (2)";14196898,12;
1407022;"Głowaczów (2)";23711205,96;
1407032;"Gniewoszów (2)";11501841,24;
1407042;"Grabów nad Pilicą (2)";11644636,76;
1407053;"Kozienice (3)";138421849,13;
1407062;"Magnuszew (2)";19761445,90;
1407072;"Sieciechów (2)";12614614,56;
1408000;"Powiat legionowski";324735475,81;
1408011;"Legionowo (1)";153787575,29;
1408022;"Jabłonna (2)";43142371,64;
1408032;"Nieporęt (2)";47119611,58;
1408043;"Serock (3)";41743864,56;
1408052;"Wieliszew (2)";38942052,74;
1409000;"Powiat lipski";94989668,36;
1409012;"Chotcza (2)";7717201,35;
1409022;"Ciepielów (2)";17527955,34;
1409033;"Lipsko (3)";26890490,72;
1409042;"Rzeczniów (2)";11432178,37;
1409052;"Sienno (2)";16353120,68;
1409062;"Solec nad Wisłą (2)";15068721,90;
1410000;"Powiat łosicki";84546181,36;
1410012;"Huszlew (2)";8285097,23;
1410023;"Łosice (3)";25074759,87;
1410032;"Olszanka (2)";8558800,60;
1410042;"Platerów (2)";13757593,56;
1410052;"Sarnaki (2)";15031288,89;
1410062;"Stara Kornica (2)";13838641,21;
1411000;"Powiat makowski";137352195,68;
1411011;"Maków Mazowiecki (1)";25663364,11;
1411022;"Czerwonka (2)";8969608,01;
1411032;"Karniewo (2)";15420963,84;
1411042;"Krasnosielc (2)";19882241,39;
1411052;"Młynarze (2)";5353501,14;
1411062;"Płoniawy-Bramura (2)";14909533,57;
1411073;"Różan (3)";20157496,46;
1411082;"Rzewnie (2)";8273366,74;
1411092;"Sypniewo (2)";9782876,72;
1411102;"Szelków (2)";8939243,70;
1412000;"Powiat miński";382322274,10;
1412011;"Mińsk Mazowiecki (1)";98012267,72;
1412042;"Cegłów (2)";16247368,27;
1412052;"Dębe Wielkie (2)";21036465,36;
1412062;"Dobre (2)";18705925,63;
1412073;"Halinów (3)";35264932,35;
1412082;"Jakubów (2)";12819819,51;
1412093;"Kałuszyn (3)";17053383,59;
1412102;"Latowicz (2)";15099079,27;
1412112;"Mińsk Mazowiecki (2)";31242289,99;
1412122;"Mrozy (2)";24459097,93;
1412132;"Siennica (2)";20186947,60;
1412142;"Stanisławów (2)";17472257,21;
1412151;"Sulejówek (1)";54722439,67;
1413000;"Powiat mławski";217839894,53;
1413011;"Mława (1)";83477691,99;
1413022;"Dzierzgowo (2)";10127718,72;
1413032;"Lipowiec Kościelny (2)";12818194,31;
1413042;"Radzanów (2)";11237024,74;
1413052;"Strzegowo (2)";28474611,72;
1413062;"Stupsk (2)";13272482,39;
1413072;"Szreńsk (2)";12744833,14;
1413082;"Szydłowo (2)";11865882,36;
1413092;"Wieczfnia Kościelna (2)";19116109,27;
1413102;"Wiśniewo (2)";14705345,89;
1414000;"Powiat nowodworski";252148513,62;
1414011;"Nowy Dwór Mazowiecki (1)";106950882,94;
1414022;"Czosnów (2)";32593350,94;
1414032;"Leoncin (2)";14929927,16;
1414043;"Nasielsk (3)";47910469,28;
1414052;"Pomiechówek (2)";25775118,28;
1414063;"Zakroczym (3)";23988765,02;
1415000;"Powiat ostrołęcki";290066655,30;
1415012;"Baranowo (2)";26929129,95;
1415022;"Czarnia (2)";8776551,28;
1415032;"Czerwin (2)";16400318,79;
1415042;"Goworowo (2)";23933621,03;
1415052;"Kadzidło (2)";37127400,10;
1415062;"Lelis (2)";27678681,29;
1415072;"Łyse (2)";28751499,90;
1415083;"Myszyniec (3)";36435823,02;
1415092;"Olszewo-Borki (2)";29794641,75;
1415102;"Rzekuń (2)";38499446,25;
